"Txhash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $1614.20082989608/ETH","TxnFee(ETH)","TxnFee(USD)","Historical $Price/ETH","Status","ErrCode","Method"
"0x6fd361e2301eb2f2cdc6feb5482b342d5b7025be9a3a70be4fa21bc74dc4e57b","28338127","1743465601","2025-04-01 00:00:01","0x1aabf276867e084d4c2f203951f9a6e87e499659","0xf1fc9580784335b2613c1392a530c1aa2a69ba3d","","0","0","0","0.000000175428107112","0.000283176196087289","1905.23","","","Approve"
"0xf53bd75f55f2ae22edb2a2c55d700922114268d1746daa952b2c4c453d384b37","28338130","1743465607","2025-04-01 00:00:07","0x1aabf276867e084d4c2f203951f9a6e87e499659","0xf1fc9580784335b2613c1392a530c1aa2a69ba3d","","0","0","0","0.000001120952844896","0.00180944301250549","1905.23","","","Sell"
"0xb8c7cc38792ca3085d6f825f3280529b3b9a68f8a04086378c46521e51fe0196","28338292","1743465931","2025-04-01 00:05:31","0x3613000113d2e4ddbf0b99780d777b0f0213100d","0xf1fc9580784335b2613c1392a530c1aa2a69ba3d","","0.00003169","0","0.0511540242994068","0.000001064421203415","0.00171818958991148","1905.23","","","Buy"
"0xcd52018377f66697c29fe8b888828da621ec862361fad19ba04f010155d9ded2","28338540","1743466427","2025-04-01 00:13:47","0x55030a265553c24de577b0e643a0bf7ec6369719","0xf1fc9580784335b2613c1392a530c1aa2a69ba3d","","0.000661","0","1.06698674856131","0.000001212473736894","0.0019571761123215","1905.23","","","Buy"
"0xb4e27abda82cfe1e3019d27f521f5086a3304408b811c4f51c43b836907dc311","28338571","1743466489","2025-04-01 00:14:49","0x55030a265553c24de577b0e643a0bf7ec6369719","0xf1fc9580784335b2613c1392a530c1aa2a69ba3d","","0","0","0","0.000001066280930571","0.00172119156303007","1905.23","","","Sell"
"0x263f5348b596a5cd7604fa87ee918f16c5553c079280a2b471923ca5b40ad8f4","28338627","1743466601","2025-04-01 00:16:41","0x778b802ce322a7ad2649803967e1ef0924ca7651","0xf1fc9580784335b2613c1392a530c1aa2a69ba3d","","0","0","0","0.000000736279187427","0.00118850247537987","1905.23","","","Sell"
"0x497a9b244f59aee9d502ef24c6cb3ce7f36c767d4e1beb0cd2720761d8f9559c","28338637","1743466621","2025-04-01 00:17:01","0xc904affdf652c69bf44e60bda56d2b1061038a26","0xf1fc9580784335b2613c1392a530c1aa2a69ba3d","","0.001","0","1.61420082989608","0.000000789600218762","0.00127457332841175","1905.23","","","Buy"
"0x7d68efd942a1d125d5fe9f0ad4ae2a0347239eac88b63c5e0c16644e66064edc","28338656","1743466659","2025-04-01 00:17:39","0xc904affdf652c69bf44e60bda56d2b1061038a26","0xf1fc9580784335b2613c1392a530c1aa2a69ba3d","","0","0","0","0.000000771461660099","0.00124529405196481","1905.23","","","Sell"
"0x4a8fac8e70a46944eecb4b07bfc31ba3947975cbc907a352cbeffc742d1777aa","28338681","1743466709","2025-04-01 00:18:29","0x838a0f2a2eed93ca58fb4e58a4817259f007b356","0xf1fc9580784335b2613c1392a530c1aa2a69ba3d","","0.00008409","0","0.135738147785961","0.000001037862957429","0.00167531924720029","1905.23","","","Buy"
"0x45a41b3174c6e1688b145a7e3f25952f1363c0a476339938a601e94149c09096","28338698","1743466743","2025-04-01 00:19:03","0xcf1e0ed9c2b1811f050175dfaeaaf92977ea6a80","0xf1fc9580784335b2613c1392a530c1aa2a69ba3d","","0","0","0","0.000000735625490415","0.0011874472771206","1905.23","","","Sell"
"0x6dbe7acfade9aa2d21b60d44296895f87c8e058833453ea2070cb286372bc85f","28338782","1743466911","2025-04-01 00:21:51","0x2e03135fcec592847aae3e0eb9c623500ab736f7","0xf1fc9580784335b2613c1392a530c1aa2a69ba3d","","0.0003822","0","0.616947557186282","0.00000098164335035","0.00158456951079694","1905.23","","","Buy"
"0x06d23db425fcb87f48a209d11e3f5aa15f037f8e35fa835832dea0803c703edf","28338836","1743467019","2025-04-01 00:23:39","0x4212fb3e95fe862c0258083fd8ffcf82ed2ccd6a","0xf1fc9580784335b2613c1392a530c1aa2a69ba3d","","0.0006593","0","1.06424260715049","0.000001161316731286","0.00187459843141406","1905.23","","","Buy"
"0xc2b7841379717b4b10197fa57ab1db2abb583153e33493a879559786d4aaa1da","28338863","1743467073","2025-04-01 00:24:33","0x01347eca82386e04bedb8782fdbca34d1eed353d","0xf1fc9580784335b2613c1392a530c1aa2a69ba3d","","0","0","0","0.000000693748369441","0.00111984919369071","1905.23","","","Sell"
"0x827c00c2896a7cd3237388ac60e358d7b27a07a904716ed80a00c8710f482893","28338883","1743467113","2025-04-01 00:25:13","0x42425c49cb780a5befd46dd2601fad141be0cb09","0xf1fc9580784335b2613c1392a530c1aa2a69ba3d","","0.0001","0","0.161420082989608","0.000000751244548202","0.00121265957316257","1905.23","","","Buy"
"0x52a3858835455d4207c49f0e7e1ebb47e8b6e5662a17da7c562aed4c0d046ebc","28338899","1743467145","2025-04-01 00:25:45","0xbfe312451503babf7c2b36fcd3c3e7fa4184566b","0xf1fc9580784335b2613c1392a530c1aa2a69ba3d","","0.00079","0","1.2752186556179","0.000001019656169552","0.0016459298350995","1905.23","","","Buy"
"0x33ec5e5889915dc478fde24b57bf16bd6f16e19b67d92621f79df858368d1e5a","28338920","1743467187","2025-04-01 00:26:27","0x194197e8f7698a0c0e7730c45785d0c83c06b388","0xf1fc9580784335b2613c1392a530c1aa2a69ba3d","","0.0009","0","1.45278074690647","0.00000102515733117","0.00165480981474866","1905.23","","","Buy"
"0x62b877b5bf0d8c755427a2eeaa9cc1ffdecf27e6e3b33037159a72ecf01aa84e","28338954","1743467255","2025-04-01 00:27:35","0xbfe312451503babf7c2b36fcd3c3e7fa4184566b","0xf1fc9580784335b2613c1392a530c1aa2a69ba3d","","0","0","0","0.000000104811338156","0.000169186549033934","1905.23","","","Approve"
"0x68562ea93d6a42b021553969a5e4d3233947b1cb9043893cc4384328994039c5","28338957","1743467261","2025-04-01 00:27:41","0xbfe312451503babf7c2b36fcd3c3e7fa4184566b","0xf1fc9580784335b2613c1392a530c1aa2a69ba3d","","0","0","0","0.000001008470584158","0.00162787405387363","1905.23","","","Sell"
"0xffbe4aa16e8c66d78e323ba3611688e676e39a7f7fe9265e876cb165fb02a6d6","28338970","1743467287","2025-04-01 00:28:07","0x194197e8f7698a0c0e7730c45785d0c83c06b388","0xf1fc9580784335b2613c1392a530c1aa2a69ba3d","","0","0","0","0.000000104367289213","0.000168469764861629","1905.23","","","Approve"
"0x67451dc3956144078a2c075ea140b463a5668eafd2ec4e43215ee5bbf750cd4f","28338973","1743467293","2025-04-01 00:28:13","0x194197e8f7698a0c0e7730c45785d0c83c06b388","0xf1fc9580784335b2613c1392a530c1aa2a69ba3d","","0","0","0","0.000001068510026145","0.00172478977095554","1905.23","","","Sell"
"0x140d5c2164d0751823caf1f2ca62ef76613cc7a5090055ff06163bf9526af065","28339109","1743467565","2025-04-01 00:32:45","0x4212fb3e95fe862c0258083fd8ffcf82ed2ccd6a","0xf1fc9580784335b2613c1392a530c1aa2a69ba3d","","0","0","0","0.000000159928466714","0.000258156663693746","1905.23","","","Approve"
"0xf0f9961de4c7a15841001bfb1f5e135b8994a5887c3957c81ec07ac26cce9bed","28339114","1743467575","2025-04-01 00:32:55","0x4212fb3e95fe862c0258083fd8ffcf82ed2ccd6a","0xf1fc9580784335b2613c1392a530c1aa2a69ba3d","","0","0","0","0.000001024475643647","0.00165370943418331","1905.23","","","Sell"
"0xee977a73881dc9e2ffd65182756847e7e8aaaddd2a0c7137d487de58706374b8","28339206","1743467759","2025-04-01 00:35:59","0x1276f7e8769bf872fd8a25be7257c890295264d9","0xf1fc9580784335b2613c1392a530c1aa2a69ba3d","","0.0003214","0","0.5188041467286","0.00000098798350686","0.00159480379669705","1905.23","","","Buy"
"0xd90103da4c21f5421b6a95850060d3f35713822ff2244a3115594da3357146a3","28339246","1743467839","2025-04-01 00:37:19","0x48b553e46494e78180a5a848e25f6dcdde158c60","0xf1fc9580784335b2613c1392a530c1aa2a69ba3d","","0.00057","0","0.920094473040766","0.000000946473201508","0.00152779782734861","1905.23","","","Buy"
"0x0259ca6829e7f1d0b6ccac49e02c609b651a34cc543192ce6ad3cbc679867801","28339255","1743467857","2025-04-01 00:37:37","0x1276f7e8769bf872fd8a25be7257c890295264d9","0xf1fc9580784335b2613c1392a530c1aa2a69ba3d","","0","0","0","0.000000157499736147","0.000254236204796901","1905.23","","","Approve"
"0xf2d46b3bfc783aa1cb05695feab90d95a9dd36a257bb195539824900bf682396","28339256","1743467859","2025-04-01 00:37:39","0x48b553e46494e78180a5a848e25f6dcdde158c60","0xf1fc9580784335b2613c1392a530c1aa2a69ba3d","","0.00067","0","1.08151455603037","0.000000945753815333","0.00152663659358791","1905.23","","","Buy"
